articleFileName,citationNumCrossRef,citationSourceCrossRef,CitationNumGoogle
"2008fitzsimons_moore@journal of consumer psychology~should we ask our children about sex, drugs and rock & roll - potentially harmful effects of asking questions about risky behaviors",39,"<BMC Psychology><European Journal of Marketing><The Economic Journal><Information & Management><Personality and Social Psychology Review><Journal of Consumer Psychology><Appetite><Journal of Economic Psychology><Psychology & Health><Journal of Business Research><Social Science Research><Journal of Public Policy & Marketing><Public Opinion Quarterly><Organizational Behavior and Human Decision Processes><International Journal of Public Opinion Research><Journal of Consumer Research><Psychology & Health><Demography><Sociological Methods & Research><Social Forces><Journal of Consumer Psychology><Journal of Adolescent Health><Proceedings of the National Academy of Sciences><Journal of Consumer Research><IAAP Handbook of Applied Psychology><Review of Marketing Research><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><PLoS ONE>",66
"2008gollwitzer_oettingen@journal of consumer psychology~the question-behavior effect from an action control perspective",15,"<SSRN Electronic Journal><European Review of Social Psychology><Journal of Retailing><Personality and Social Psychology Review><Journal of Consumer Psychology><Disability and Rehabilitation><SSRN Electronic Journal><International Journal of Public Opinion Research><Review of Marketing Research><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology>",22
"2008hagtvedt_patrick@journal of consumer psychology~art and the brand - the role of visual art in enhancing brand extendibility",48,"<Journal of Retailing and Consumer Services><Handbook of Research on Consumption, Media, and Popular Culture in the Global Age><Consumer Psychology Review><Journal of Business Research><Journal of Business Research><Product Innovation in the Global Fashion Industry><The Journal of High Technology Management Research><Journal of Product & Brand Management><Journal of Product & Brand Management><Journal of Product & Brand Management><Journal of Product & Brand Management><Journal of Product & Brand Management><Journal of Global Fashion Marketing><Journal of Product & Brand Management><Psychology & Marketing><Journal of Computational Design and Engineering><Journal of Product Research><Luxusmarkenmanagement><European Journal of Marketing><European Journal of Marketing><Innovative Marketing><Journal of Product Research><Journal of Marketing Management><Marketing in and for a Sustainable Society><Handbook of Research on Global Fashion Management and Merchandising><Critical Arts><Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering><Marketing Letters><Journal of Brand Management><Forum Markenforschung><Business Horizons><Journal of Consumer Psychology><Business Horizons><Journal of Global Fashion Marketing><Psychology of Music><Personality and Social Psychology Bulletin><Neuroökonomie><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Review of Managerial Science><International Journal of Advertising><Journal of Marketing Management><European Journal of Marketing><Journal of Travel Research>",101
"2008hofmann_strack_deutsch@journal of consumer psychology~free to buy - explaining self-control and impulse in consumer behavior",30,"<Information & Management><Review of Marketing Science><Journal of Consumer Research><Information & Management><European Sport Management Quarterly><Journal of Economic Psychology><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Appetite><Self-Regulation and Ego Control><Psychology & Marketing><Trends in Cognitive Sciences><Journal of Consumer Psychology><Challenges for the Trade of Central and Southeast Europe><Journal of Promotion Management><Social Neuroscience and Public Health><SSRN Electronic Journal><Journal of Consumer Psychology><Anatolia><Journal of Consumer Psychology><Journal of Risk Research><Journal of Marketing Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Frontiers in Human Neuroscience>",79
"2008hung_wyer@journal of consumer psychology~the impact of implicit theories on responses to problem-solving print advertisements",23,"<Psychology & Marketing><International Journal of Hospitality Management><Journal of Consumer Research><Media Psychology><Marketing Letters><Journal of Consumer Research><European Journal of Marketing><Measurement for the Social Sciences><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Marketing Letters><International Journal of Advertising><Social Responsibility Journal>",33
"2008johnson@journal of consumer psychology~man, my brain is tired - linking depletion and cognitive effort in choice",23,"<WIREs Cognitive Science><Internet Research><Nutrition Reviews><Renewable and Sustainable Energy Reviews><Journal of Business Research><Computers in Human Behavior><Marketing Letters><Energy Research & Social Science><Medical Decision Making><Applied Mathematical Modelling><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Choice Modelling><Journal of Consumer Research><Journal of Consumer Psychology><Annual Review of Law and Social Science><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology>",44
"2008kim_john@journal of consumer psychology~consumer response to brand extensions - construal level as a moderator of the importance of perceived fit",86,"<International Journal of Hospitality Management><Journal of Retailing><Asia Pacific Journal of Marketing and Logistics><Psychology & Marketing><Psychology & Marketing><Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration><HCI in Business, Government and Organizations. Information Systems and Analytics><Journal of Brand Management><Journal of Business Research><Journal of Business Research><Journal of Retailing and Consumer Services><Asia Pacific Journal of Marketing and Logistics><Psychology & Marketing><International Journal of Research in Marketing><Journal of Environmental Psychology><Journal of Brand Management><Journal of Brand Management><Journal of Marketing Communications><Journal of Product Research><Japanese Psychological Research><Psychology & Marketing><Psychology & Marketing><Innovative Marketing><Journal of Marketing><European Journal of Marketing><Journal of Brand Management><Psychology & Marketing><Environmentally Responsible Supply Chains><International Journal of Hospitality Management><Journal of Business Research><Marketing Letters><AMS Review><Journal of Consumer Marketing><Journal of Consumer Psychology><Psychology & Marketing><The Research Journal of the Costume Culture><Journal of the Academy of Marketing Science><Journal of Consumer Research><Advances in Advertising Research (Vol. V)><Journal of Service Research><Management & Marketing><European Journal of Marketing><Journal of Global Marketing><The Research Journal of the Costume Culture><Journal of Consumer Psychology><Psychology & Marketing><Psychology & Marketing><Journal of Business Research><Journal of Business Research><Journal of Consumption Culture><European Journal of Marketing><Media Psychology><Journal of Marketing Management><Journal of Brand Management><Journal of Consumer Psychology><Journal of Brand Management><Marketing Letters><Journal of Marketing Research><Journal of Brand Management><Recherche et Applications en Marketing (English Edition)><Acta Psychologica Sinica><Journal of Marketing><Revista de Administração Contemporânea><Social Psychological and Personality Science><International Journal of Research in Marketing><Acta Psychologica Sinica><Seoul Journal of Business><Journal of Marketing><Journal of Product & Brand Management><Journal of Marketing><Recherche et Applications en Marketing (English Edition)><Journal of Brand Management><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations><Journal of Marketing Communications><Internet Research><Japanese Psychological Research><AMS Review>",221
"2008kivetz_netzer_schrift@journal of consumer psychology~the synthesis of preference - bridging behavioral decision research and marketing science",21,"<New Developments in Competition Law and Economics><Journal of Behavioral Decision Making><Customer Needs and Solutions><Psychological Science><Library & Information Science Research><SSRN Electronic Journal><Population, Space and Place><Journal of Consumer Psychology><Transportation Research Part E: Logistics and Transportation Review><International Journal of Management Reviews><Psychological Studies><Energy Policy><Journal of Choice Modelling><Marketing Science><Transport Reviews><European Retail Research><Wiley Interdisciplinary Reviews: Cognitive Science><Journal of Economic Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology>",48
"2008kruger_vargas@journal of consumer psychology~consumer confusion of percent differences",23,"<Journal of Travel & Tourism Marketing><Journal of Consumer Psychology><Cornell Hospitality Quarterly><Journal of Marketing Research><Journal of Business Economics><Addictive Behaviors><Öffentliche Finanzen und Verhaltensökonomik><Journal of Economic Psychology><Journal of Interactive Marketing><Organizational Behavior and Human Decision Processes><Journal of Economic Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Vierteljahrshefte zur Wirtschaftsforschung><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Marketing Science>",60
"2008lau‐gesk_drolet@journal of consumer psychology~the publicly self-consciousness consumer - prepared to be embarrassed",29,"<Emotion-Based Approaches to Personnel Management><Journal of Consumer Psychology><ACM SIGMIS Database: the DATABASE for Advances in Information Systems><Journal of Consumer Marketing><Journal of Retailing><International Journal of Hospitality Management><Journal of Marketing Management><Motivation and Emotion><Psychology & Marketing><Journal of Global Fashion Marketing><Journal of Retailing and Consumer Services><SSRN Electronic Journal><Journal of Consumer Behaviour><Journal of Business Research><Current Opinion in Psychology><Revista de Administração Contemporânea><Journal of Advertising><Journal of Business Research><Journal of Consumer Research><Social Influence><Applied Ergonomics><The Korean Journal of Consumer and Advertising Psychology><Personality and Social Psychology Bulletin><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology>",52
"2008madrigal@journal of consumer psychology~hot vs. cold cognitions and consumers' reactions to sporting event outcomes",31,"<Sport Management Review><Sport Management Review><Journal of Sport Management><Sport, Business and Management: An International Journal><Journal of Global Sport Management><Strategic Management Journal><European Sport Management Quarterly><Sport, Business and Management: An International Journal><Journal of Sport Management><Communication Research><Sports Management and Sports Humanities><Journal of Consumer Psychology><Japanese Journal of Sport Management><European Sport Management Quarterly><Journal of Media Psychology><Journal of Advertising><Schmalenbach Business Review><Erlebniskommunikation><Journal of Consumer Psychology><Journal of Modelling in Management><Media Psychology><European Sport Management Quarterly><Journal of Sport Management><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Sport Management><International Journal of Sports Marketing and Sponsorship>",63
"2008mick@journal of consumer psychology~degrees of freedom of will - an essential endless question in consumer behavior",12,"<Personality and Individual Differences><Journal of the Association for Consumer Research><Procedia - Social and Behavioral Sciences><Journal of Consumer Psychology><Marketing Theory><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Business Ethics>",23
"2008monga_john@journal of consumer psychology~when does negative brand publicity hurt - the moderating influence of analytic versus holistic thinking",86,"<Marketing and Smart Technologies><Business & Society><Journal of Business Research><Global Aspects of Reputation and Strategic Management><Journal of Interactive Marketing><Journal of Product & Brand Management><Consumer Psychology Review><Journal of Consumer Psychology><Organizational Behavior and Human Decision Processes><Journal of Retailing><Journal of Retailing><Journal of Brand Management><Journal of Product & Brand Management><International Marketing Review><Advances in Global Marketing><Sport, Business and Management: An International Journal><Marketing Letters><Journal of Retailing and Consumer Services><Journal of Consumer Psychology><Psychology & Marketing><Journal of Product Research><Journal of Product & Brand Management><Journal of Consumer Marketing><The Korean Journal of Consumer and Advertising Psychology><Marketing Intelligence & Planning><Journal of Product & Brand Management><Qualitative Market Research: An International Journal><ECONOMIA AGRO-ALIMENTARE><Journal of Consumer Psychology><Journal of Product Research><Journal of Global Sport Management><European Journal of Marketing><Current Opinion in Psychology><Marketing Letters><American Journal of Industrial and Business Management><BAR - Brazilian Administration Review><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Advertising><The Journal of International Trade & Commerce><Journal of Consumer Marketing><Brand Meaning Management><International Journal of Strategic Communication><Journal of Computer-Mediated Communication><European Sport Management Quarterly><Competitiveness Review><Sport, Business and Management: An International Journal><Basic and Applied Social Psychology><Journal of Consumer Research><Journal of Consumer Research><Journal of Marketing><Psychology & Marketing><Psychology & Marketing><Journal of Consumer Psychology><Journal of Product Research><Applied Cognitive Psychology><Journal of Consumer Psychology><Journal of Cardiovascular Electrophysiology><Acta Psychologica Sinica><The Korean Journal of Consumer and Advertising Psychology><Journal of Marketing><Acta Psychologica><Journal of Consumer Marketing><Wiley International Encyclopedia of Marketing><Psychology & Marketing><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Marketing><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Marketing and Consumer Behaviour in Emerging Markets><Journal of Indian Business Research><Journal of Product & Brand Management><International Journal of Business Communication><Journalism><International Journal of Pharmaceutical and Healthcare Marketing><Journal of Marketing Communications><Journal of Consumer Research><Qualitative Market Research: An International Journal><Journal of Advertising><Revista de Psicología Social><Journal of Brand Management>",185
"2008moore_fitzsimons@journal of consumer psychology~while parents might not want to, researchers really should ask questions about risky behaviors",8,"<Personality and Social Psychology Review><European Review of Social Psychology><Social Science Research><Psychology & Health><International Journal of Public Opinion Research><Sociological Methods & Research><Journal of Consumer Psychology><Journal of Consumer Psychology>",11
"2008peracchio_escalas@journal of consumer psychology~tell me a story - crafting and publishing research in consumer psychology",3,"<Examining the Evolution of Gaming and Its Impact on Social, Cultural, and Political Perspectives><Journal of Brand Management>",17
"2008rucker_petty_briñol@journal of consumer psychology~what's in a frame anyway - - a meta-cognitive analysis of the impact of one versus two sided message framing on attitude certainty",65,"<Online Information Review><Journal of Retailing and Consumer Services><Personality and Social Psychology Bulletin><Service Science><Consumer Psychology Review><International Journal of Behavioral Medicine><Public Opinion Quarterly><Journal of Advertising Research><Journal of Consumer Psychology><The Communication Review><Current Opinion in Psychology><International Journal of Advertising><AIDS and Behavior><Revue Européenne de Psychologie Appliquée/European Review of Applied Psychology><Journal of the Academy of Marketing Science><Recherche et Applications en Marketing (English Edition)><Journal of Distribution and Management Research><Journal of Service Research><Journal of Promotion Management><Journal of Health Communication><Advances in Health Sciences Education><Sports Management and Sports Humanities><The Wiley Blackwell Handbook of Judgment and Decision Making><Cornell Hospitality Quarterly><Journal of Consumer Research><Social Psychology of Education><Social Psychological and Personality Science><Media Psychology><Energy Research & Social Science><Southern Communication Journal><Psychology & Marketing><Journal of Consumer Psychology><Journal of Applied Social Psychology><Journal of Islamic Marketing><Global Environmental Change><Journal of Experimental Social Psychology><Accident Analysis & Prevention><Australasian Marketing Journal (AMJ)><Journal of Business Research><Psychological Science><Psychology & Marketing><The Korean Journal of Consumer and Advertising Psychology><Journal of Consumer Research><Handbook of Psychology, Second Edition><Journal of Consumer Behaviour><Public Health Nursing><International Marketing Review><Personality and Social Psychology Bulletin><Political Psychology><Journal of Product Research><Journal of Consumer Research><Psychological Science><Psychology & Marketing><Journal of Consumer Psychology><, ><Journal of Consumer Psychology><Journal of Consumer Psychology><Marketing Intelligence & Planning><Marketing Letters><International Journal of Advertising><Central European Journal of Management><Journal of the Academy of Marketing Science><Journal of Consumer Research><Biological Invasions><Journal of Creative Communications>",164
